"Pass","Status","RSIPeriod","RSIBuyBelow","RSISellAbove","ADXPeriod","ADXThreshold","NetProfit","ProfitFactor","RecoveryFactor","EquityDD","Trades","HistoryQuality"
"1","OK","5","10","80","10","30","198.30","1.01","0.05","3.85% (3 954.09)","1700","100% real ticks"
"2","OK","5","10","80","10","40","1 438.42","1.02","0.17","8.16% (8 565.69)","5870","100% real ticks"
"3","OK","5","10","80","10","50","-10 223.21","0.95","-0.54","17.78% (18 962.52)","10069","100% real ticks"
"4","OK","5","10","80","14","30","-6 444.80","0.93","-0.45","13.66% (14 225.90)","5458","100% real ticks"
"5","OK","5","10","80","14","40","12 609.53","1.06","1.30","8.77% (9 684.58)","10482","100% real ticks"
"6","OK","5","10","80","14","50","6 647.40","1.03","0.31","17.98% (21 386.81)","11273","100% real ticks"
"7","OK","5","10","80","18","30","3 585.19","1.02","0.27","11.88% (13 122.35)","8914","100% real ticks"
"8","OK","5","10","80","18","40","11 978.65","1.05","0.57","16.83% (21 047.72)","11199","100% real ticks"
"9","OK","5","10","80","18","50","3 089.64","1.01","0.17","15.42% (18 559.23)","9898","100% real ticks"
"10","OK","5","10","85","10","30","2 802.01","1.51","1.47","1.85% (1 910.44)","536","100% real ticks"
"11","OK","5","10","85","10","40","2 201.34","1.06","0.42","5.06% (5 243.87)","2738","100% real ticks"
"12","OK","5","10","85","10","50","-15 871.62","0.87","-0.78","19.70% (20 330.98)","6085","100% real ticks"
"13","OK","5","10","85","14","30","-7 282.15","0.83","-0.60","11.68% (12 045.12)","2552","100% real ticks"
"14","OK","5","10","85","14","40","1 525.80","1.01","0.15","9.77% (10 162.53)","6694","100% real ticks"
"15","OK","5","10","85","14","50","-13 206.11","0.93","-0.85","15.34% (15 610.02)","8755","100% real ticks"
"16","OK","5","10","85","18","30","-1 815.89","0.98","-0.15","11.45% (11 753.03)","5356","100% real ticks"
"17","OK","5","10","85","18","40","-16 589.18","0.91","-0.74","21.28% (22 369.99)","8478","100% real ticks"
"18","OK","5","10","85","18","50","-6 724.70","0.97","-0.47","13.50% (14 327.92)","8246","100% real ticks"
"19","OK","5","10","90","10","30","3 485.27","4.16","3.42","0.99% (1 018.55)","186","100% real ticks"
"20","OK","5","10","90","10","40","1 555.91","1.08","0.32","4.76% (4 840.32)","1139","100% real ticks"
"21","OK","5","10","90","10","50","-1 364.96","0.98","-0.17","7.83% (7 973.64)","3211","100% real ticks"
"22","OK","5","10","90","14","30","-5 097.84","0.77","-0.69","7.28% (7 360.21)","1067","100% real ticks"
"23","OK","5","10","90","14","40","4 871.85","1.07","0.67","7.07% (7 265.47)","3674","100% real ticks"
"24","OK","5","10","90","14","50","-13 382.63","0.91","-0.74","17.52% (18 170.35)","5911","100% real ticks"
"25","OK","5","10","90","18","30","-541.66","0.99","-0.07","7.77% (7 985.35)","2824","100% real ticks"
"26","OK","5","10","90","18","40","-5 837.54","0.95","-0.39","13.94% (14 918.81)","5534","100% real ticks"
"27","OK","5","10","90","18","50","-2 282.93","0.99","-0.23","9.77% (10 096.80)","6441","100% real ticks"
"28","OK","5","15","80","10","30","-1 510.00","0.94","-0.27","5.44% (5 556.63)","2155","100% real ticks"
"29","OK","5","15","80","10","40","2 443.05","1.02","0.20","11.02% (11 991.72)","7317","100% real ticks"
"30","OK","5","15","80","10","50","-5 916.04","0.97","-0.39","14.34% (15 012.12)","11972","100% real ticks"
"31","OK","5","15","80","14","30","-1 045.70","0.99","-0.09","10.60% (11 273.48)","6666","100% real ticks"
"32","OK","5","15","80","14","40","9 675.39","1.04","0.76","11.59% (12 798.40)","12300","100% real ticks"
"33","OK","5","15","80","14","50","-4 288.22","0.98","-0.16","23.91% (26 774.40)","12757","100% real ticks"
"34","OK","5","15","80","18","30","3 387.27","1.02","0.28","11.17% (12 114.05)","10579","100% real ticks"
"35","OK","5","15","80","18","40","-6 478.85","0.98","-0.26","22.57% (25 145.09)","12666","100% real ticks"
"36","OK","5","15","80","18","50","302.31","1.00","0.01","21.26% (25 623.09)","10701","100% real ticks"
"37","OK","5","15","85","10","30","1 104.24","1.09","0.43","2.53% (2 589.28)","997","100% real ticks"
"38","OK","5","15","85","10","40","1 570.44","1.02","0.17","8.79% (9 516.59)","4592","100% real ticks"
"39","OK","5","15","85","10","50","-5 522.67","0.97","-0.34","15.50% (16 168.52)","8994","100% real ticks"
"40","OK","5","15","85","14","30","-1 407.84","0.98","-0.15","8.75% (9 335.61)","4151","100% real ticks"
"41","OK","5","15","85","14","40","8 575.81","1.05","0.76","10.15% (11 327.56)","9494","100% real ticks"
"42","OK","5","15","85","14","50","-23 844.24","0.91","-0.75","30.23% (31 681.92)","10974","100% real ticks"
"43","OK","5","15","85","18","30","354.12","1.00","0.03","11.01% (11 678.58)","7810","100% real ticks"
"44","OK","5","15","85","18","40","-25 250.79","0.90","-0.71","33.32% (35 392.71)","10777","100% real ticks"
"45","OK","5","15","85","18","50","-3 427.72","0.98","-0.19","16.55% (17 686.19)","9451","100% real ticks"
"46","OK","5","15","90","10","30","1 488.71","1.17","0.77","1.92% (1 945.27)","657","100% real ticks"
"47","OK","5","15","90","10","40","733.65","1.01","0.10","6.77% (7 145.04)","3192","100% real ticks"
"48","OK","5","15","90","10","50","2 066.10","1.02","0.17","11.54% (12 148.62)","6944","100% real ticks"
"49","OK","5","15","90","14","30","370.99","1.01","0.07","4.87% (4 949.16)","2823","100% real ticks"
"50","OK","5","15","90","14","40","18 041.28","1.13","1.86","8.02% (9 694.25)","7332","100% real ticks"
"51","OK","5","15","90","14","50","-16 540.17","0.92","-0.81","20.38% (20 395.67)","9229","100% real ticks"
"52","OK","5","15","90","18","30","4 484.76","1.04","0.58","7.09% (7 708.26)","5924","100% real ticks"
"53","OK","5","15","90","18","40","-4 660.65","0.98","-0.23","18.61% (20 018.22)","9052","100% real ticks"
"54","OK","5","15","90","18","50","-11 475.18","0.94","-0.51","22.54% (22 559.17)","8341","100% real ticks"
"55","OK","5","20","80","10","30","-3 745.44","0.92","-0.39","9.29% (9 555.45)","3349","100% real ticks"
"56","OK","5","20","80","10","40","-5 497.12","0.97","-0.30","17.52% (18 509.32)","10190","100% real ticks"
"57","OK","5","20","80","10","50","-13 053.42","0.95","-0.52","23.65% (25 115.86)","14431","100% real ticks"
"58","OK","5","20","80","14","30","-3 629.09","0.98","-0.23","14.97% (15 858.29)","9226","100% real ticks"
"59","OK","5","20","80","14","40","-12 741.25","0.96","-0.41","28.20% (31 123.52)","14443","100% real ticks"
"60","OK","5","20","80","14","50","-18 286.10","0.94","-0.60","28.08% (30 479.76)","14098","100% real ticks"
"61","OK","5","20","80","18","30","-12 961.15","0.95","-0.51","23.50% (25 581.33)","12901","100% real ticks"
"62","OK","5","20","80","18","40","-6 932.97","0.98","-0.36","18.04% (19 363.30)","14220","100% real ticks"
"63","OK","5","20","80","18","50","-6 911.39","0.97","-0.23","25.12% (30 601.58)","10968","100% real ticks"
"64","OK","5","20","85","10","30","-1 426.85","0.95","-0.18","7.74% (8 016.46)","2275","100% real ticks"
"65","OK","5","20","85","10","40","-13 966.34","0.90","-0.55","24.39% (25 369.84)","8006","100% real ticks"
"66","OK","5","20","85","10","50","-20 738.75","0.92","-0.60","32.50% (34 569.87)","12362","100% real ticks"
"67","OK","5","20","85","14","30","-12 205.98","0.90","-0.55","21.13% (22 113.00)","7270","100% real ticks"
"68","OK","5","20","85","14","40","-21 587.34","0.92","-0.63","32.08% (34 139.35)","12552","100% real ticks"
"69","OK","5","20","85","14","50","-21 757.08","0.93","-0.69","30.50% (31 597.61)","12974","100% real ticks"
"70","OK","5","20","85","18","30","-18 292.04","0.92","-0.60","28.98% (30 373.71)","11103","100% real ticks"
"71","OK","5","20","85","18","40","-21 841.73","0.93","-0.65","32.01% (33 818.29)","13018","100% real ticks"
"72","OK","5","20","85","18","50","-7 167.08","0.97","-0.23","26.80% (30 632.10)","10208","100% real ticks"
"73","OK","5","20","90","10","30","-880.99","0.97","-0.12","6.86% (7 081.23)","1952","100% real ticks"
"74","OK","5","20","90","10","40","-12 693.05","0.90","-0.55","22.18% (22 972.22)","6972","100% real ticks"
"75","OK","5","20","90","10","50","-4 023.22","0.98","-0.17","21.31% (23 405.23)","11073","100% real ticks"
"76","OK","5","20","90","14","30","-13 830.09","0.88","-0.61","22.10% (22 845.39)","6237","100% real ticks"
"77","OK","5","20","90","14","40","-8 398.46","0.96","-0.41","19.18% (20 720.17)","11274","100% real ticks"
"78","OK","5","20","90","14","50","-33 368.21","0.89","-0.83","38.80% (40 397.38)","11926","100% real ticks"
"79","OK","5","20","90","18","30","-11 392.17","0.94","-0.47","22.57% (24 259.28)","9866","100% real ticks"
"80","OK","5","20","90","18","40","-22 106.94","0.92","-0.60","34.15% (36 726.28)","12107","100% real ticks"
"81","OK","5","20","90","18","50","-10 478.66","0.96","-0.39","24.10% (27 091.25)","9622","100% real ticks"
"82","OK","7","10","80","10","30","833.77","1.23","0.56","1.48% (1 499.78)","345","100% real ticks"
"83","OK","7","10","80","10","40","167.70","1.01","0.03","4.96% (5 087.43)","1816","100% real ticks"
"84","OK","7","10","80","10","50","-11 815.30","0.86","-0.77","14.93% (15 330.42)","4141","100% real ticks"
"85","OK","7","10","80","14","30","-3 562.43","0.86","-0.44","7.85% (8 095.79)","1553","100% real ticks"
"86","OK","7","10","80","14","40","-2 041.36","0.98","-0.20","9.95% (10 168.99)","4541","100% real ticks"
"87","OK","7","10","80","14","50","-812.16","0.99","-0.06","13.29% (13 897.90)","6805","100% real ticks"
"88","OK","7","10","80","18","30","-70.72","1.00","-0.01","6.98% (7 172.39)","3483","100% real ticks"
"89","OK","7","10","80","18","40","-3 103.49","0.98","-0.25","12.10% (12 552.58)","6351","100% real ticks"
"90","OK","7","10","80","18","50","-3 722.64","0.98","-0.24","14.11% (15 263.58)","7140","100% real ticks"
"91","OK","7","10","85","10","30","2 069.32","3.88","2.03","1.01% (1 018.55)","104","100% real ticks"
"92","OK","7","10","85","10","40","244.49","1.02","0.08","3.01% (3 045.61)","598","100% real ticks"
"93","OK","7","10","85","10","50","2 054.34","1.07","0.38","5.26% (5 365.39)","1588","100% real ticks"
"94","OK","7","10","85","14","30","-3 283.35","0.71","-0.60","5.44% (5 471.74)","496","100% real ticks"
"95","OK","7","10","85","14","40","1 686.06","1.05","0.32","5.10% (5 195.37)","1764","100% real ticks"
"96","OK","7","10","85","14","50","-10 290.21","0.87","-0.70","14.26% (14 743.51)","3470","100% real ticks"
"97","OK","7","10","85","18","30","-638.58","0.97","-0.16","4.01% (4 032.51)","1315","100% real ticks"
"98","OK","7","10","85","18","40","-1 812.92","0.97","-0.16","10.64% (11 332.03)","3204","100% real ticks"
"99","OK","7","10","85","18","50","196.21","1.00","0.01","13.30% (14 289.49)","4678","100% real ticks"
"100","OK","7","10","90","10","30","115.15","1.29","0.48","0.24% (238.18)","31","100% real ticks"
"101","OK","7","10","90","10","40","-668.61","0.85","-0.36","1.83% (1 844.27)","210","100% real ticks"
"102","OK","7","10","90","10","50","312.11","1.03","0.08","3.73% (3 752.94)","587","100% real ticks"
"103","OK","7","10","90","14","30","-2 583.33","0.47","-0.76","3.36% (3 386.27)","148","100% real ticks"
"104","OK","7","10","90","14","40","340.74","1.03","0.09","3.77% (3 800.58)","656","100% real ticks"
"105","OK","7","10","90","14","50","-2 343.75","0.93","-0.36","6.45% (6 530.40)","1530","100% real ticks"
"106","OK","7","10","90","18","30","-1 173.18","0.89","-0.31","3.71% (3 734.81)","480","100% real ticks"
"107","OK","7","10","90","18","40","-2 127.59","0.94","-0.31","6.68% (6 787.12)","1417","100% real ticks"
"108","OK","7","10","90","18","50","2 529.84","1.04","0.49","5.01% (5 112.93)","2553","100% real ticks"
"109","OK","7","15","80","10","30","1 124.44","1.24","0.79","1.40% (1 419.54)","428","100% real ticks"
